Sensor 1,Sensor 2,Sensor 3,Sensor 4,d_Sensor 1,d_Sensor 2,d_Sensor 3,d_Sensor 4,timeTracker
0.5131578947368421,0.49504950495049505,0.6,0.6075949367088608,0.0,0.0,0.0,0.0,1574051291.8902442
0.5131578947368421,0.5,0.6,0.6075949367088608,0.0,0.26932501281673277,0.0,0.0,1574051291.8994348
0.5043859649122807,0.4916948931735279,0.5866666666666667,0.5991561181434599,-0.3064479456178353,-0.22624989786746563,-0.46580087733910736,-0.2948106818601953,1574051291.9089763
0.49320605435156517,0.4849534273608646,0.5832343234323433,0.5916328317809092,-0.6514597776184752,-0.46326079966955946,-0.4212781221669192,-0.49020590447293044,1574051291.9183655
0.48633802615491317,0.4808755104145789,0.5811859142149165,0.5896893923970796,-0.6596582975472334,-0.4360886220164279,-0.34866182900974496,-0.37979295109641253,1574051291.928604
0.4817350920058776,0.47989084065917176,0.582133139199036,0.588404713764886,-0.5885233713344294,-0.329640662204676,-0.2239276878361885,-0.2952215624025127,1574051291.9394646
0.48049009040275636,0.4791961099721078,0.5828043179534355,0.58749391937302,-0.45996142451873223,-0.25184436430885554,-0.14064671265859213,-0.23406966559186382,1574051291.9502845
0.4777977104977857,0.4786801391226301,0.5833043571770347,0.5901094355570874,-0.39969640189338607,-0.19662258351631792,-0.08972056869103018,-0.11041652679707688,1574051291.9610941
0.47570921671011407,0.4782820454889996,0.5836910796508845,0.5921583916798596,-0.3465145861418883,-0.1573397682238381,-0.059070561110387304,-0.02738541393245693,1574051291.9719253
0.47548740467779665,0.4789978146574366,0.5839989444999009,0.5938028158710879,-0.2693150868313705,-0.10777802041494461,-0.04019478682126562,0.02009201949373076,1574051291.9827504
0.4753090635939569,0.47958205368233914,0.5842497512729504,0.5951491109517171,-0.2093265176800143,-0.07199672540367644,-0.027674621212227732,0.04813882321810236,1574051291.9925096
0.4751625845039995,0.4800676411171758,0.5833093506825179,0.5951299844668658,-0.1647048393277951,-0.047420531078746386,-0.03971068260764553,0.03760021588385507,1574051292.001995
0.47612985377386313,0.48127586588573806,0.5835783036449786,0.5951140149337477,-0.10715921076107457,-0.015354014656481188,-0.02929305269444398,0.03049798608728014,1574051292.0114527
0.4759407869322713,0.4808197561774711,0.5818241146939876,0.5951004805658767,-0.08848367120597807,-0.021219206525396776,-0.05135471159657029,0.025446927241890554,1574051292.0208602
0.4767248412981227,0.4818262693164113,0.5821667919709401,0.595088863994334,-0.056049967487991535,-0.0014552897181729328,-0.03910758327228657,0.02170384750543119,1574051292.030302
0.4765187505427093,0.48204865203514075,0.5815803741264566,0.59507878469301,-0.04981330472988153,0.0022313929570633192,-0.04207919295662237,0.018837633362790034,1574051292.0398169
0.4763383113921007,0.4822437365265265,0.5818996337696225,0.5950699565457922,-0.04475504326669594,0.004477106473657243,-0.03333594546786849,0.016589175747880387,1574051292.0499594
0.47617904670298106,0.4824162216872227,0.5821825286022242,0.5950621602800241,-0.04051335404139688,0.0058056531816952145,-0.02665010480851185,0.014786432636567107,1574051292.0609484
0.47603746039656863,0.4825697906126321,0.5824348582276929,0.5950552250253132,-0.03704730286970191,0.006697953284934808,-0.021309619671782524,0.013307847271742368,1574051292.0718017
0.47591078325663616,0.4832356066901365,0.5826612595778544,0.5943858184658685,-0.03413054845634944,0.011997835005743158,-0.017056705690209284,0.006674544931343665,1574051292.0826905
0.4757967937595706,0.48384106088555245,0.5828654831296828,0.5944135768866883,-0.03163611559912962,0.016043089728405874,-0.013650608267070744,0.006314914142853848,1574051292.0936081
0.4756936893366103,0.48341741320409415,0.5830505941789244,0.5944386852646663,-0.029482104726954287,0.011167515044466584,-0.010893634732067628,0.00599329186869282,1574051292.1044626
0.4755999922661713,0.4834994100888755,0.5832191218157976,0.5944615051947277,-0.02767066274660799,0.010920526642765235,-0.008529961578664147,0.005717770381868837,1574051292.11437
0.4749271665816611,0.483574113657984,0.5821816062917586,0.5944823354014431,-0.031306611038057874,0.010678311067936532,-0.01658051791872357,0.005471764729682988,1574051292.1238852
0.474873290974718,0.4840721997902575,0.5823777027948809,0.5945014248271905,-0.029233528127720607,0.013764236543038965,-0.013555027405716583,0.005246167291277281,1574051292.1333275
0.4748238329397582,0.484533865842833,0.5825581420123318,0.5945189825824958,-0.02738951576806115,0.016224190098314162,-0.01103760756829845,0.005036497000471629,1574051292.1428645
0.4747782729290876,0.48455893369942116,0.5827246943774451,0.59453518560228,-0.02574699910201019,0.015295704473744714,-0.008911177389638045,0.004843383997932664,1574051292.152297
0.47473616961003967,0.4853584664864895,0.5823573727136141,0.5950230358085351,-0.024269609464824007,0.019755329219121202,-0.011014945251169618,0.007404999541568636,1574051292.1618102
0.47469714570043237,0.4853503897667482,0.5830274496870396,0.595481447729017,-0.022925722936145226,0.018421720744137685,-0.00567181958327418,0.009524182676908152,1574051292.1717246
0.4746608767717837,0.48570975987146,0.5821705439057862,0.5959127722424195,-0.02168977877626028,0.01934591253479974,-0.01071074804611225,0.011158362257652727,1574051292.182512
0.4746270823198079,0.48604657057865847,0.582824406177057,0.596319132865566,-0.0205665489646011,0.02004696514862339,-0.005842541825337335,0.012544419570490321,1574051292.193315
0.47459551858440646,0.4856673021582543,0.5829626654656808,0.5967024510239806,-0.019542625272651066,0.016921355401714702,-0.004568390358860453,0.013720378580241227,1574051292.2040858
0.4745659727321726,0.48598895019957955,0.5835566343602085,0.5970644682117281,-0.018606440686557618,0.01766128435715875,-0.0006652025167687161,0.014718161526741248,1574051292.2147868
