1,2,3,4,d1,d2,d3,d4,hours,minutes,seconds
0.44895591647331773,0.5127388535031847,0.4204771371769384,0.4649484536082474,0.0,0.0,0.0,0.0,21.0,31.0,47.392183
0.44663573085846864,0.5106157112526539,0.4204771371769384,0.4628865979381444,-0.12660756407556809,-0.1158553293345425,0.0,-0.1125110517867409,21.0,31.0,47.401346
0.4412052423653352,0.5028088496770273,0.41517561298873423,0.4553057051277516,-0.2316029399167142,-0.29066319234464394,-0.12836528066618924,-0.28162566052248955,21.0,31.0,47.415113
0.4349328236952043,0.4966812412403864,0.4114875105800838,0.4514591214020741,-0.3459768691342213,-0.3889100241256665,-0.195315285134292,-0.3063998805696847,21.0,31.0,47.426129
0.4292105904379704,0.49473138308997205,0.40926312764508505,0.4491470544374701,-0.4023087348559966,-0.32028729055628363,-0.1975272926224104,-0.27939617459060384,21.0,31.0,47.437084
0.4245475483097639,0.4919725558933324,0.4077799860587889,0.44760894276887214,-0.40655177112166097,-0.29922812502942103,-0.18303335297920406,-0.2455418746974012,21.0,31.0,47.448251
0.42261185623693537,0.4900003919931096,0.4037960019056999,0.4465140830408143,-0.3559081100067805,-0.27084171584785216,-0.2179638159797405,-0.21386670101533495,21.0,31.0,47.45922
0.4199322472121832,0.48964034026493497,0.4033757929184087,0.4451613822943449,-0.33316454799749945,-0.220430527336067,-0.1841245043616293,-0.19627315567983852,21.0,31.0,47.469882
0.4195174489271316,0.487879794968391,0.4025893512264896,0.4431541788814721,-0.2762714923811485,-0.2120235023984545,-0.16492985660129833,-0.19809041248601453,21.0,31.0,47.479613
0.4181936283760286,0.486467685171827,0.4019631591130272,0.44240861643954493,-0.24774701835980856,-0.20030764983483812,-0.14782085550479518,-0.17941914920394894,21.0,31.0,47.489179
0.41802491639853856,0.4853118172730177,0.4006940244397654,0.4414056027610132,-0.2032725871604068,-0.18723343468841394,-0.14528998801173376,-0.16814922495004936,21.0,31.0,47.498788
0.4170559451999557,0.4854856693756112,0.4006854162034189,0.4405703908553464,-0.1833093795633456,-0.15614042693074845,-0.12498345040713366,-0.15684051920245526,21.0,31.0,47.508334
0.4162380476289351,0.4856313106215978,0.400678202685778,0.44020267531244056,-0.1657475031430122,-0.1291568619377726,-0.10749453176869403,-0.14112011789701695,21.0,31.0,47.517895
0.4155391040635877,0.4851101887315931,0.40007577349143264,0.4395757775558384,-0.15023550564906424,-0.11726402236636856,-0.1012688287144409,-0.13115851602022666,21.0,31.0,47.527527
0.4145997683129677,0.4852629622246588,0.3992740926825455,0.43873971062334455,-0.13993714183951,-0.09804441073974747,-0.09751211307469948,-0.12413225185768448,21.0,31.0,47.538706
0.4134605334022632,0.4848314179015682,0.3977787023660504,0.4377297290979606,-0.1346527959589658,-0.0895251234438492,-0.10189981568057037,-0.1202952647813908,21.0,31.0,47.549759
0.4127525649913258,0.4847175420101169,0.3974524336327077,0.43709786641940057,-0.12547140713229074,-0.07894439158840459,-0.09407579267088524,-0.11345045298904348,21.0,31.0,47.56082
0.4121245285758083,0.4848678453317441,0.3974024748654468,0.4367865208900067,-0.11699752218216256,-0.06718481301987513,-0.08469371294248967,-0.10456590394814166,21.0,31.0,47.571903
0.4112922901489484,0.4850016973249864,0.3969074067670741,0.43627270991874295,-0.11211516001844962,-0.05741124057301901,-0.08056710536548377,-0.09861541489052827,21.0,31.0,47.582947
0.41054219533457575,0.4846708086808282,0.3964617975380056,0.4360365511923763,-0.10746100548775372,-0.05424532019309113,-0.07673526687337529,-0.09105540577974712,21.0,31.0,47.593728
0.4101126910521173,0.4841561996216345,0.3964699923671495,0.4356091378819328,-0.10102123561089688,-0.054194886998128806,-0.06955076876763397,-0.0865645421243208,21.0,31.0,47.603297
0.4097240842159454,0.4843074929186703,0.3964773824903241,0.4352210659254205,-0.09504412681940884,-0.047312633312258295,-0.06311063872722965,-0.08232934725315076,21.0,31.0,47.612811
0.4091424684987997,0.4844451335127533,0.39592492699209136,0.43486729666950696,-0.09172012718888653,-0.04140559079666643,-0.06259457619512909,-0.07828498339165674,21.0,31.0,47.622439
0.4086095106054648,0.4841916703295495,0.3950562020091239,0.4341639741798787,-0.08846856015828844,-0.0400250392989639,-0.06496125795491772,-0.07789676995130844,21.0,31.0,47.631978
0.4083321391683554,0.4839586151333717,0.3940727888066827,0.433513187138748,-0.08335025089152624,-0.03868182731832634,-0.06799415177465372,-0.07714545458797728,21.0,31.0,47.641493
0.4080775923318361,0.4837436537970273,0.3938395666311891,0.4332671272655465,-0.07857317958928171,-0.0373783632212828,-0.06467892481863807,-0.07334924118017576,21.0,31.0,47.651019
0.4074495825742507,0.4835448049741154,0.3937898602835305,0.43252365234841295,-0.07692768124614416,-0.03594591565686992,-0.06023232543994748,-0.07306118459827404,21.0,31.0,47.661734
0.4068644906047788,0.4833603628363602,0.3939029812632369,0.4323324922374712,-0.07508378702369813,-0.034562896450213244,-0.055060530189047135,-0.06927522833915598,21.0,31.0,47.67273
0.40669126139256334,0.4835060643093765,0.3937012517631608,0.4318309752726037,-0.07068977242290686,-0.03128549408160654,-0.05235675543930105,-0.06766112889405489,21.0,31.0,47.68379
0.4063507971917874,0.4834883111277749,0.3938101081315287,0.4315197925627858,-0.06777794784793692,-0.029282089330547944,-0.0479328570776961,-0.06510698722863785,21.0,31.0,47.694807
0.4058583934944156,0.4834717886359586,0.3936247221312909,0.4312293283332711,-0.06611064117473782,-0.027468503237758863,-0.045722171666058985,-0.0626357387482732,21.0,31.0,47.705917
