Sensor 1,Sensor 2,Sensor 3,Sensor 4,d_Sensor 1,d_Sensor 2,d_Sensor 3,d_Sensor 4,timeTracker
0.39473684210526316,0.4168591224018476,0.34810126582278483,0.3188539741219963,0.0,0.0,0.0,0.0,1573747485.9916446
0.40389016018306634,0.4168591224018476,0.34810126582278483,0.3188539741219963,0.4201518848166057,0.0,0.0,0.0,1573747486.0025375
0.4008020430150433,0.39838337182448036,0.338456901748041,0.31146025878003697,0.0548016757178173,-0.6340600288802183,-0.3309800994636947,-0.25374121303616787,1573747486.0122504
0.3922869830251446,0.39117088491059354,0.33722538398355956,0.3095812493204306,-0.37849309108886103,-0.6796712202473226,-0.24468438048998942,-0.22861337485673464,1573747486.0222292
0.38898997730580204,0.3907434826582212,0.3364921239982826,0.3084571802630223,-0.34075132867260877,-0.448108706049694,-0.18438320470581357,-0.19190010072155256,1573747486.0331488
0.38679971779789557,0.39207696990052865,0.33723640415942124,0.30771036074606933,-0.29255187572642377,-0.22805568281428795,-0.11092591268707465,-0.16114700477091157,1573747486.043957
0.3866171951024829,0.39302022072065923,0.33776627570955586,0.30717868155655675,-0.2132252211558962,-0.10534649784011184,-0.06736251712020278,-0.13629725533512674,1573747486.054746
0.38767787241914614,0.3937218441006971,0.33816246304460273,0.30678114363932796,-0.12777463554337437,-0.04645358016776173,-0.04203833056558065,-0.11635060337305148,1573747486.0655677
0.38849930404510136,0.39748502261655194,0.3392912686394923,0.3073126049811696,-0.0724787713872497,0.06907421057087079,-0.010645866904709728,-0.0861443438408455,1573747486.0763643
0.38915359626443063,0.40055058684259154,0.3401978278757192,0.3069801270609095,-0.03847063938792672,0.13675273602899973,0.009002697579743587,-0.07651361086696208,1573747486.0867145
0.3905605403123891,0.40308653046573967,0.34094110779865255,0.3067086325890212,0.0035011788148281847,0.1724730700439464,0.021640139935900984,-0.06889628589181758,1573747486.0961897
0.3917378550230986,0.4052126422612992,0.3409347773898008,0.3071147380616968,0.02954096925106547,0.18524115245330702,0.01797683003419582,-0.052790475301126585,1573747486.1055999
0.3934880738277105,0.4046228624852451,0.3420822631421699,0.30745838951810434,0.06004499236635062,0.13517890045800346,0.03287609090613546,-0.04035393402743769,1573747486.1150544
0.39500174674834015,0.4041237357589567,0.3436143705685497,0.30720881341098893,0.07871563617431121,0.09650021592416638,0.05072663593984188,-0.03848252654954319,1573747486.1245406
0.39699094233429183,0.40644888220753095,0.34495835557120824,0.3075011197230072,0.10149998799353414,0.126436950566001,0.0632946595824146,-0.030204499560100243,1573747486.1339884
0.3987524278947894,0.40850966144026407,0.34614496840713155,0.30823437023361855,0.11469627385296718,0.14264488705964776,0.07102163322007797,-0.018166495325539198,1573747486.1437175
0.4003198145797614,0.41160748185197404,0.34766301134308397,0.3088855156876772,0.11907906250108449,0.16688429113621647,0.0793714789698908,-0.009362867930315596,1573747486.1546555
0.40230702847693217,0.4131903899718736,0.3494734672002984,0.309467182884845,0.12798698538161868,0.16353294384273828,0.0897457011516318,-0.002411014422567609,1573747486.1654391
0.40410591637706106,0.41578720603858177,0.3511178845904904,0.30998958303103824,0.1328677121215655,0.17464696846072766,0.09684453080723589,0.0029254263388326382,1573747486.1762683
0.40628679845964516,0.4181589661642019,0.35177931953616604,0.31046105593408857,0.14075242739606642,0.18047484755786544,0.09289030895020199,0.006962946982809943,1573747486.187185
0.4082873924390401,0.42145049101751936,0.35357278981942086,0.31088847474376097,0.1457094698277814,0.19597193062214463,0.10031219419178183,0.010049838231546463,1573747486.1980116
0.41012438478663715,0.4239563821555222,0.3548379207117734,0.3112775509320205,0.14901616481511032,0.20166367562665316,0.10245865231743621,0.012509041790251939,1573747486.2083912
0.41232184419104223,0.42626445384371836,0.35637715889792515,0.31163306687264375,0.1571731207198619,0.20651155528742357,0.107991445994761,0.014622037816685056,1573747486.2178771
0.4143613466244831,0.42892469061734956,0.3570629957630787,0.31229284490829373,0.16286887434224206,0.2146298928140199,0.1047990472787617,0.01903567417720715,1573747486.2273371
0.4162541620928516,0.43087031022953076,0.35875829256582553,0.3129040482527626,0.16633954550609645,0.2136434170531743,0.11113825532853788,0.022600829760939113,1573747486.236815
0.4189740794247779,0.43317632127177397,0.3603448501935012,0.3134714396269648,0.17698430006049046,0.21637388677398742,0.11583945333858292,0.02541633317383841,1573747486.2463448
0.4210622921452652,0.43481353033666875,0.36217437566913246,0.31399921266930486,0.1809961859079193,0.21243798964112032,0.12224613458051752,0.027647128412948932,1573747486.2558153
0.4234866508738285,0.4373092195761502,0.3635572155959095,0.3144910706835583,0.18674779796144184,0.21599269096573398,0.12374885159988122,0.029224798352043804,1573747486.2656634
0.42576995821935104,0.43916169439481073,0.36552035766128116,0.3152390973538968,0.18876843245333724,0.21220060478694833,0.12817622541480245,0.031903668121476284,1573747486.2765322
0.4279172490717378,0.4413631224256754,0.3673821923916817,0.3159436245720791,0.18966306925145027,0.21160145339905131,0.13162120203417885,0.03412441358418963,1573747486.2872834
0.4299342709802733,0.4439014611863467,0.3691457035240387,0.31633029628276316,0.1894095894311943,0.213321845187568,0.1339531603892692,0.03422700121143847,1573747486.2981076
0.43182724380924903,0.4462990334422566,0.3708143435789925,0.3169626352187345,0.1882486119781077,0.21374577625007152,0.13528814371888812,0.03565254994153546,1573747486.3090432
0.43360265942748755,0.4485594680243423,0.37239190212972356,0.31756021647911614,0.18662663855967582,0.21343594498042787,0.1360154056988053,0.036799604372971466,1573747486.3198516
