Sensor 1,Sensor 2,Sensor 3,Sensor 4,d_Sensor 1,d_Sensor 2,d_Sensor 3,d_Sensor 4,timeTracker
0.4315673289183223,0.43018480492813144,0.3990291262135922,0.45634095634095634,0.0,0.0,0.0,0.0,1573784861.2366593
0.4315673289183223,0.43018480492813144,0.3990291262135922,0.45634095634095634,0.0,0.0,0.0,0.0,1573784861.2458208
0.4286239882266372,0.4206023271731691,0.38996763754045305,0.4507969507969508,-0.10077850134692863,-0.328099207157198,-0.31026080366127295,-0.18982395471999405,1573784861.255556
0.42269840806760606,0.4178058679594011,0.38732621171976667,0.4479905132079045,-0.2645465128498928,-0.3152741654249465,-0.2982102301252967,-0.22830225151183597,1573784861.2649665
0.4190892376992061,0.41528999550226886,0.3857454948401289,0.44630301104246556,-0.2961058272185959,-0.29587674777255496,-0.25650180308860376,-0.2111485311829783,1573784861.2750022
0.4174339561072716,0.41432020108435386,0.3853603626908053,0.44517913988063884,-0.2577027607892633,-0.24563109067190492,-0.19996922070505804,-0.18614659127351746,1573784861.285797
0.4156013450771784,0.4118151363538051,0.3845186695008128,0.44376920894565897,-0.23690671078463468,-0.24270233177554473,-0.17042608246990426,-0.17471928026390351,1573784861.2965493
0.4142275105095479,0.4104618918006492,0.38189496719108873,0.4427106613172016,-0.2139645014782785,-0.2202258963595089,-0.1858112434723343,-0.16073903989120905,1573784861.307416
0.41316112165748425,0.4098893977153197,0.3816305363562754,0.44188774607770664,-0.19223046003321026,-0.19058876152436457,-0.15522284049901242,-0.14690713613547127,1573784861.3181548
0.411845837343036,0.40857406410484004,0.3806127818996427,0.4399361307184554,-0.1798797095662847,-0.17866599681390655,-0.14410114456383802,-0.15217884549511165,1573784861.328912
0.4107689892862934,0.4082835521046951,0.37977946734859475,0.4383244487281311,-0.1679607929926293,-0.1548775084422277,-0.13384934312390692,-0.15295113602961347,1573784861.3391244
0.41026398361949323,0.40696229902089237,0.37976478588533774,0.43771034423130956,-0.15093654026687892,-0.15232111977488344,-0.11407300538801274,-0.14221994143693847,1573784861.3486612
0.409839080541465,0.40651050868225624,0.37975246468366547,0.4375334811887176,-0.13573637413320627,-0.13795255170770138,-0.09751747673936503,-0.1276804445249532,1573784861.3581076
0.4094767955797595,0.4058130407054902,0.37916350381866304,0.4370676947766857,-0.12219424017270762,-0.12930722878090578,-0.0924343409112491,-0.11834359588163337,1573784861.3676434
0.409164363245183,0.40579389158186774,0.3791947959975389,0.43666530719597463,-0.11030686253342074,-0.11335698234892198,-0.08009157179421683,-0.10969027959537575,1573784861.3770745
0.40889225039578125,0.40550419604054083,0.3784612883967225,0.43659113024201285,-0.09985055758330852,-0.10296881386951234,-0.07976524053327558,-0.09843479183110614,1573784861.3865411
0.4086531971393928,0.40524959050936493,0.37829199982179307,0.4365261441865843,-0.09052750118962005,-0.09361850618674433,-0.0727670484519241,-0.08834131616725542,1573784861.3964994
0.40818030653124926,0.4040525883729816,0.377687886099509,0.4364687445215616,-0.08499690467561838,-0.09556227697276849,-0.07094422987989665,-0.07935345345173911,1573784861.4073472
0.4077570908891505,0.40320267008672667,0.3769286396100782,0.43618633512025273,-0.07996125826691666,-0.09382229299144697,-0.07091911788148263,-0.07373221113509003,1573784861.418088
0.407376294214801,0.40333051964519934,0.37665655446942586,0.4361526848952063,-0.0752738402050067,-0.08354438220645187,-0.06681068201126251,-0.06659602414777098,1573784861.4289882
0.4070319898405377,0.40344538480107517,0.3768073959618157,0.4359131460356079,-0.07098242874294916,-0.07428193582780605,-0.05986773512365636,-0.06221728567020564,1573784861.4398232
0.4067192918895073,0.4035491351566279,0.3765657005392929,0.43589571225180906,-0.06700297801359957,-0.06605110396001349,-0.05662376577549025,-0.05653472875238084,1573784861.450765
0.4066419883759802,0.4036432990244621,0.37670782466115293,0.43568886694410985,-0.06167429746160838,-0.05874060015243608,-0.05083234545257385,-0.05321702547586477,1573784861.4610476
0.4063727097711723,0.40354368353732173,0.37666402399048426,0.43568278296623664,-0.058774964099461154,-0.054137655829410554,-0.047063074991900614,-0.048660658375532476,1573784861.4705062
0.406125230658814,0.4029190368401299,0.37679028961961997,0.43567721229194445,-0.05607196109319724,-0.055246108251002346,-0.04228128041599384,-0.04461592263638681,1573784861.479935
0.4058970692857027,0.40285669615323105,0.3764265925152713,0.4355035135258527,-0.05351910136334818,-0.0511096985152003,-0.041954990168314846,-0.04246182525244976,1573784861.4894817
0.4058640304139145,0.40296535881183315,0.3763987258955787,0.43534269126822056,-0.0497175118719707,-0.045956517222358294,-0.03912183523050183,-0.04049439994405009,1573784861.498903
0.40583352734772493,0.4025858051207456,0.3765220812749477,0.4351933910326142,-0.04626072225437996,-0.04550281741441118,-0.03543723878882038,-0.038676369204190146,1573784861.5083082
0.40564037321041324,0.4022314282494607,0.3763486035956125,0.4350544399813694,-0.04431737035263244,-0.04477071136228962,-0.03419118320422787,-0.03693748203241295,1573784861.5182095
0.4054602352858181,0.40235333984282706,0.3763263150893844,0.4350720165920003,-0.042383745436954605,-0.040806513612284046,-0.03206111600355506,-0.034329634979551264,1573784861.529091
0.4052918741508625,0.4024669588069757,0.37630555997945053,0.4350883991328384,-0.04058472678024737,-0.037211828903605144,-0.030123248710580995,-0.031965266140086115,1573784861.5399187
0.4052845650154971,0.4025730904148833,0.3764164927488293,0.4351037050236792,-0.038005033259902364,-0.033969755671628236,-0.027610412620745522,-0.029821117531940215,1573784861.55082
