Flow,D1,D2,P1,P2,dD1,dD2,dP1,dP2
-16.74,-640.23,1673.17,-82.52,218.17,-415.91,200.72,-89.63,21.93
-16.83,-931.29,1924.74,-157.26,241.17,-376.68,216.31,-87.19,21.93
-17.03,-1183.84,2190.69,-226.52,264.95,-326.52,238.89,-80.83,22.83
-17.06,-1392.61,2456.46,-286.27,283.58,-279.55,259.22,-73.25,22.98
-16.6,-1568.58,2672.77,-338.18,295.47,-233.05,261.87,-64.3,20.8
-15.74,-1702.61,2750.23,-379.34,294.73,-194.81,222.57,-56.08,14.86
-13.86,-1803.51,2765.75,-410.14,292.1,-157.6,153.91,-46.71,7.63
-11.2,-1888.88,2766.47,-437.57,290.43,-125.8,80.88,-38.26,2.09
-6.09,-1959.38,2789.17,-461.57,293.03,-100.06,34.45,-31.38,0.12
6.4,-1980.66,2783.75,-468.97,294.51,-74.55,18.59,-23.98,1.08
14.46,-1872.61,2564.22,-433.11,280.44,-26.24,-29.13,-8.62,-0.9
21.74,-1490.53,2273.13,-311.22,264.67,85.57,-112.03,27.37,-5.39
25.6,-858.59,2052.72,-129.54,254.76,267.43,-189.73,81.75,-9.63
26.37,-413.51,1873.26,-16.13,242.1,414.61,-225.22,120.94,-12.06
27.57,22.48,1641.83,83.78,218.91,488.25,-217,133.39,-13.59
28.09,435.61,1430.6,169.78,195.78,476.62,-202.65,118.48,-16.42
26.83,680.42,1282.68,215.19,179.63,397.52,-191.85,88.85,-18.76
26.46,797.38,1185.7,236.02,168.98,314.06,-167.47,65.17,-17.7
26.63,660.82,1113.32,207.12,159.94,170.76,-124.59,33.08,-13.65
25.71,462,1020.38,164.97,148.32,10.48,-93.66,0.1,-10.67
24.23,305.87,931.8,130.71,136.56,-101.53,-81.67,-22.17,-9.92
21.14,219.2,837.71,110.26,123.76,-144.69,-83.01,-31.04,-10.66
19.77,35.5,767.67,68.29,114.09,-143.43,-83,-31.59,-10.95
20.94,-204.1,709.54,11.97,105.98,-154.93,-74.51,-35.31,-10.09
21.34,-400.88,662.47,-36.3,98.73,-179.02,-62.9,-41.84,-8.76
20.66,-526.23,581.79,-69.33,86.53,-188.79,-58.21,-45.16,-8.44
19.23,-571.77,490.08,-84.06,73.2,-150.3,-65.07,-37.51,-9.62
17.71,-610.69,430.35,-97.11,64.49,-95.33,-70.13,-25.58,-10.39
17.11,-656.87,374.94,-110.1,55.77,-56.67,-69.95,-16.56,-10.38
16.11,-711.53,326.99,-125.73,47.94,-42.62,-59.99,-12.92,-9.07
14.86,-758.54,288.77,-141.02,42.08,-44.57,-48.3,-13.32,-7.52
12.4,-791.16,265.3,-151.14,38.53,-43.54,-39.52,-13.01,-6.24
1.97,-820.7,279.31,-158.6,40.58,-38.18,-23.35,-11.41,-3.68
0.34,-815.57,271.07,-155.82,39.96,-24.64,-10.29,-7,-1.46
-0.26,-814.99,246.65,-154.81,36.49,-11.47,-6.06,-2.49,-0.7
-0.49,-839.63,245.64,-160.62,37,-6.97,-5.44,-0.81,-0.45
-0.63,-875.21,248.52,-169.43,36.99,-11.28,-6.96,-1.98,-0.75
-0.54,-918.06,247.52,-180.29,36.72,-24.67,-2.82,-5.74,-0.34
-0.34,-971.99,260.82,-194.26,38.66,-37.66,4.71,-9.32,0.66
-0.14,-1011.57,263.57,-204.46,38.44,-42.82,6.48,-10.8,0.71
-0.11,-1064.4,262.06,-218.9,38.67,-46.44,5.93,-12,0.75
