Flow,D1,D2,P1,P2,dD1,dD2,dP1,dP2
20.77,183.24,145.13,82.66,28.69,-207.81,4.27,-47.41,-0.08
20.03,94.86,105.67,60.41,22.17,-159.73,-13.71,-37.76,-2.7
19.37,-9.48,69.4,32.94,17.24,-132.24,-27.77,-32.34,-4.57
18.69,-135.98,32.52,-1.76,11.88,-116.67,-34.48,-29.78,-5.22
18,-233.15,-13.7,-28.71,5.01,-113.01,-37.34,-29.88,-5.51
17.23,-285.95,-73.47,-44.34,-3.97,-106,-42.56,-28.68,-6.22
16.71,-292.53,-126.6,-47.06,-12.02,-79.96,-48.4,-22,-7.23
15.86,-287.31,-164.28,-46.97,-17.77,-45.49,-49.43,-12.8,-7.46
14.71,-294.55,-187.68,-50.54,-21.35,-22.66,-42.8,-6.71,-6.5
13.74,-307.83,-215.27,-55.93,-25.59,-15.71,-33.5,-4.9,-5.12
12.69,-326.5,-230.7,-62.46,-27.96,-20.71,-25.03,-6.33,-3.85
11.71,-356.11,-239.43,-72.07,-29.9,-29.46,-18.51,-8.68,-2.98
10.37,-420.76,-249.22,-91.86,-31.56,-43.15,-13.98,-12.45,-2.38
7.31,-496.27,-270.01,-114.75,-35.43,-60.75,-12.15,-17.38,-2.25
1.4,-561.76,-292.22,-135.37,-39.05,-75.06,-14.83,-21.62,-2.71
-8.89,-599.36,-330.21,-147.81,-45.64,-76.68,-22.11,-22.3,-3.87
-14.17,-650.32,-373.86,-164.1,-52.68,-69.23,-30.86,-20.45,-5.26
-16.17,-648.95,-398.36,-164.47,-57.21,-50.41,-34.07,-15.21,-5.78
-28.83,-655.4,-380.54,-166.31,-54.55,-32.07,-25.03,-9.8,-4.37
-34.06,-691.45,-330.11,-177.05,-47.24,-24.81,-1.39,-7.54,-0.64
-37.83,-708.33,-252.49,-181.33,-35.88,-19.99,30.35,-5.81,4.22
-40.89,-756.47,-153.97,-195.72,-22.12,-30.08,61.13,-8.66,8.78
-42.77,-816.07,-31.04,-212.73,-5.72,-41.52,87.29,-11.96,12.22
-43.57,-850.2,118.73,-221.83,15.26,-45.23,112.14,-12.86,15.52
-44.63,-857.56,283.61,-221.45,37.54,-41.86,135.25,-11.39,18.5
-43.49,-833.22,463.48,-210.53,62.45,-22.11,156.32,-4.57,21.4
-43.29,-791.91,641.12,-193.62,86.05,4,170.93,4.25,23.33
-42.31,-724.13,810.37,-169.51,107.8,29.43,176.76,12.61,23.71
-40.97,-610.28,966.23,-131.72,127.88,58.32,174.53,21.51,23.04
-39.63,-454.35,1161.57,-82.73,152.59,92.35,176.09,31.36,22.73
-39.2,-302.08,1386.96,-36.55,180.28,123.93,188.92,39.88,23.93
-37.83,-192.31,1630.05,-4.27,209.16,136.77,211.39,42.54,26.21
-34.74,-57.92,1787.67,34.35,227.96,136.84,217.29,41.21,26.47
-31.8,105.24,1918.69,79.66,242.87,137.09,198.37,39.88,23.71
-28.86,248.98,2091.93,118.05,262.67,141.36,177.38,39.81,20.81
-26.71,389.45,2227.17,152.87,278.05,149.1,157.94,40.48,18.28
-22.8,523.89,2295.11,186.67,285.35,147.47,140.93,38.64,16.09
-14.49,628.18,2325.1,212.82,289.08,135.28,110.59,34.48,12.65
9.71,600.18,2310.35,206.81,287.5,97.67,62.7,24.83,7.24
31.89,444.67,2194.13,168.57,274.95,22.33,4.16,6.26,0.77
46,337.97,1983.36,140.22,251.82,-52.03,-66.42,-12.64,-6.97
49.71,328.29,1696.48,134.62,220.05,-82.93,-149.92,-21.28,-16.28
49.63,370.23,1390.2,141.99,185.54,-54.5,-226.06,-15.38,-24.88
49.46,516.39,1082.43,174.72,149.54,20.77,-274.84,2.39,-30.81
47.11,617.41,853.61,195.68,122.18,78.05,-281.47,16.11,-32.18
44.4,744.49,667.03,221.66,98.86,111.4,-254.5,23.78,-29.88
40.69,879.57,504.85,249.54,78.04,128.08,-214.23,27.17,-25.95
37.14,914.23,385.14,255.22,62.53,108.95,-170.48,22.36,-21.27
34.54,833.17,311.17,235.76,52.5,62.76,-133.21,12.09,-17.07
33.51,723.17,248.08,210.13,44.35,-7.23,-99.97,-3.21,-12.99
31.63,566.7,199.51,172.65,37.67,-81.42,-71.79,-19.74,-9.46
29.34,375.6,168.11,125.82,33.26,-135.87,-51.72,-32.44,-6.92
26.4,170.91,159.04,73.64,31.99,-170.61,-35.67,-41.52,-4.81
23.31,50.4,107.34,41.6,23.37,-179.36,-29.52,-44.66,-4.38
22.09,-12.22,55.83,23.33,15.64,-155.1,-32.23,-39.66,-5.03
20.49,-55.78,-5.21,8.73,6.7,-112.53,-42.53,-30.06,-6.6
19.71,-143.78,-58.32,-18.17,-1.7,-82.15,-52.42,-23.41,-8.08
18.29,-245.55,-105.99,-47.52,-8.88,-81.12,-51.93,-23.8,-7.88
17.11,-311.1,-148.75,-67.33,-15.87,-87.26,-49,-25.57,-7.58
15.46,-325.63,-197.95,-73.45,-23.38,-78.51,-45.79,-23.07,-7.18
14.03,-329.86,-234,-75.88,-28.83,-52.02,-42.75,-15.69,-6.66
13.26,-333.72,-267.81,-77.98,-33.94,-25.19,-39.56,-8.3,-6.13
12.23,-344.91,-294.6,-81.65,-38,-12.28,-35.11,-4.48,-5.34
11.46,-360.4,-312.36,-86.84,-40.68,-12.49,-28.2,-4.28,-4.28
10.66,-388.08,-332.1,-95.68,-43.69,-17.89,-23.66,-5.78,-3.6
9.71,-434.56,-341.2,-109.7,-45.68,-27.71,-18.35,-8.61,-2.92
8.8,-481.74,-350.55,-123.91,-47.28,-37.64,-14.36,-11.53,-2.41
8.17,-526.77,-360.76,-137.1,-48.92,-45.08,-12.21,-13.57,-2.11
5.4,-571.04,-369.65,-150.45,-50.33,-47.79,-10.6,-14.29,-1.82
2.57,-676.13,-379.69,-182.11,-52.53,-58.79,-11.21,-17.63,-1.9
-2.86,-784.6,-400.12,-215.86,-56.52,-76.74,-13.87,-23.31,-2.49
-8.31,-882.35,-428.18,-246.98,-61.78,-93.55,-19.06,-28.9,-3.53
-12.71,-965.99,-471.66,-274.11,-70.09,-100.68,-28.21,-31.61,-5.27
-17.37,-1074.86,-497.29,-310.51,-76.4,-99.07,-34,-31.94,-6.57
-21.43,-1186.58,-464.62,-348.52,-74.99,-101.05,-23.38,-33.41,-5.64
-24.14,-1271.38,-415.85,-377.35,-70.29,-101.59,-0.5,-34.15,-2.7
-27.37,-1321.12,-357.42,-393.41,-62.71,-92.8,27.38,-31.31,1.58
-31.23,-1351.98,-293.69,-403.75,-52.76,-71.53,48.05,-24.07,5.47
-34.71,-1377.53,-196.86,-412.72,-39.27,-49.82,62.76,-16.68,8.45
-38.94,-1407.08,-53.16,-422.52,-20.05,-37.72,86.08,-12.54,12
-41.91,-1429.63,129.83,-429.34,3.44,-33.81,119.6,-11.06,16.18
-44.11,-1446.02,296.87,-433.77,24.97,-32.17,149.56,-10.04,19.58
-46.06,-1448.45,439.13,-432.79,42.82,-27.27,161.66,-7.75,20.76
-49.17,-1440.22,571.33,-428.36,58.35,-18.14,155.92,-4.22,19.54
-51.51,-1409.85,704.69,-415.91,74.17,-5.03,143.08,0.54,17.47
-52.8,-1343.88,841.43,-389.67,90.2,15.21,136.69,7.94,16.24
-54.89,-1246.2,963.6,-352.94,104.71,41.81,133.7,17.48,15.69
-57.31,-1126.48,1111.07,-308.49,121.6,71.83,136.22,28.18,15.9
-61.37,-973.7,1257.04,-254.27,137.13,102.74,140.4,38.65,16
-64.29,-818.32,1409.38,-200.36,152.83,127.08,146.51,46.22,16.11
-64.34,-620.54,1555.48,-135.18,169.31,151.49,152.42,53.11,16.46
-64.26,-367.35,1681.43,-55.57,183.64,183.48,148.75,61.49,16.11
-61.29,-74.84,1765.29,31.64,193.77,222.09,134.26,70.94,14.96
-55.57,284.84,1832.4,132.29,202.79,273.5,111.48,82.81,13.05
-46.8,632.57,1859.73,222.74,208.21,315.39,82.23,90.33,10.36
-34.71,944.37,1895.88,298.33,214.79,333.97,58.92,90.21,8.38
-9.2,970.52,1950.08,305.61,221.37,277.07,50.17,72.03,7.47
18.43,879.16,1955.22,284.58,222.07,155.43,40.71,39.56,5.96
22.2,723.93,1921.5,247.52,217.73,14.74,25.6,4.47,3.45
20.54,617.18,1875.76,221.28,212.54,-87.24,0.56,-20.35,0.02
18.31,548.01,1823.07,203.4,206.66,-108.02,-25.88,-25.94,-3.05
13.69,508.68,1796.61,193.18,204.35,-89.11,-34.1,-21.87,-3.8
14.17,481.93,1782.89,185.68,202.96,-56.68,-28.16,-14.35,-2.92
18.14,445.43,1766.36,175.54,201.79,-38.4,-18.39,-10.09,-1.65
40.77,412.32,1887.37,163.22,217.92,-30.95,17.49,-8.98,2.88
56.51,546.5,1897.77,192.3,223.69,3.14,38.53,-1.6,6.28
59.29,564.21,1849.35,191.48,222.13,29.22,34.45,3.68,6.98
59.71,696.18,1647.92,216.81,203.91,68.25,-19.49,11.98,1.81
57.66,752.45,1539.8,225.34,193.94,86.23,-86.75,15.83,-5.82
55.03,709.47,1389.21,209.75,177.73,54.89,-125.3,7.88,-11.09
53.77,778.59,1217.88,220.71,159.09,47.92,-145.26,6.19,-14.35
50.54,860.13,1011.47,232.68,135.13,39.36,-153.07,3.8,-16.41
47,873.6,840.45,230.29,114.78,43.49,-171.8,4.42,-19.33
43.51,827.54,703.07,215.15,98.2,37.53,-169.69,3.21,-19.64
38.69,731.43,591,190.61,84.59,-8.2,-151.42,-6.59,-17.95
32.63,604.35,494.98,158.99,72.22,-60.95,-123.84,-17.54,-15.01
21.83,501.29,412.4,133.86,61.32,-92.52,-102.34,-23.77,-12.73
18.29,438.94,338.79,119.34,52.1,-96.69,-86.91,-23.75,-11.03
18.03,383.5,281.19,104.7,43.84,-82.31,-74.01,-20.12,-9.67
17.97,250.89,222.34,69.65,35.06,-78.94,-64.28,-19.83,-8.72
17.8,122.49,180.88,36.13,29.8,-91.39,-54.75,-23.66,-7.57
17,35.25,128.81,12.79,22.71,-104.03,-48.97,-27.41,-6.86
16.34,-21.14,80.66,-3.48,16.03,-99.96,-46.51,-26.63,-6.39
15.11,-61.04,36.21,-17.09,9.18,-74.32,-44.38,-20.64,-6.15
14.11,-103.67,-4.07,-28.79,3.33,-52.39,-43.47,-15.29,-6.25
13.37,-145.07,-40.45,-39.9,-1.26,-41.73,-39.63,-12.34,-5.68
12.4,-193.66,-63.12,-53.9,-4.98,-40.18,-33.83,-11.59,-4.87
11.23,-298.09,-83.85,-83.8,-8.08,-53.59,-27.42,-15.04,-3.91
9.86,-418.42,-111.31,-118.53,-12.7,-75.43,-23.39,-21.51,-3.52
8.74,-502.96,-121.46,-143.18,-14.98,-91.32,-18.71,-26.31,-3.16
7.2,-540.63,-135.78,-154.37,-17.29,-87.27,-16.1,-25.25,-2.81
6.4,-599.15,-154.18,-172.15,-19.41,-69.94,-14.46,-20.5,-2.4
6.49,-650.23,-166.65,-187.88,-21.7,-53.61,-12.47,-16.05,-1.95
6.54,-674.79,-178.03,-195.04,-23.49,-43.07,-12.74,-13.04,-1.88
6,-671.19,-194.34,-194.19,-25.91,-31.51,-12.69,-9.6,-1.91
4.94,-663.21,-212.44,-191.75,-27.96,-12.75,-13.29,-3.91,-1.94
3.6,-659.01,-229.47,-192.22,-30.31,1.61,-15.2,0.12,-2.02
1.14,-656.97,-239.27,-192.14,-31.72,7.06,-15.28,1.46,-1.99
-3.74,-651.31,-249.82,-190.16,-33.29,6.94,-13.64,1.46,-1.8
-7.09,-631.19,-259.2,-183.42,-34.71,9.56,-11.56,2.58,-1.63
-9.46,-581.06,-286.56,-167.88,-38.16,20.64,-13.87,6.47,-1.89
-11.34,-538.36,-291.12,-154.4,-38.72,33.35,-14.77,10.54,-1.94
-12.43,-480.3,-312.37,-136.82,-41.86,46.27,-16.69,14.39,-2.21
-13.77,-421.19,-325.41,-118.81,-43.23,55.05,-17.06,16.9,-2.2
-15.03,-356.84,-338.91,-99.88,-45.12,59.7,-15.36,18.08,-2
-15.49,-347.8,-329.24,-96.71,-43.09,53.66,-11.93,16.16,-1.38
-15.51,-316.52,-307.76,-87.03,-39.79,43.25,-1.24,13.07,0.23
-15.89,-292.19,-282.86,-79.35,-35.51,32.85,9.78,10.02,1.87
-16.66,-304.47,-245.12,-82.08,-30.45,18.81,21.51,6.05,3.47
-17.17,-346.53,-185.88,-93.35,-23.21,3.94,33.04,1.82,4.69
-17.51,-415.69,-115.93,-112.62,-14.15,-23.18,46.15,-5.99,6.13
-17.91,-490.49,-30.38,-133.41,-2.88,-49.11,61.53,-13.48,7.93
-17.83,-575.2,48.49,-157.43,7.96,-67.26,72.47,-18.8,9.5
-17.94,-635.85,98.5,-174.92,14.22,-72.88,71.67,-20.62,9.5
-17.83,-653.21,151.08,-178.94,20.68,-61.45,64.86,-17.34,8.5
-17.8,-684.81,212.27,-187.32,28.24,-46.51,57.64,-12.99,7.35
-18.2,-784.32,263.71,-216.76,31.88,-47.18,53.62,-13.35,6.08
-18.51,-888,323.7,-247.8,37.23,-64.79,55.91,-18.82,5.65
-18.83,-962.87,399.39,-269.96,44.73,-84.33,60.85,-24.95,5.69
-19.06,-1016.87,487.6,-285.93,55.08,-87.06,69.12,-25.95,6.67
-19.09,-1053.76,567.92,-295.65,64.6,-70.08,78.15,-20.64,8.4
-19.34,-1070.09,641.27,-299.09,73.21,-49.15,81.71,-13.97,9.3
-19.54,-1070.73,758.45,-297.79,87.91,-30.78,88.97,-8.08,10.62
-19.51,-1072.83,727.14,-296.39,83.31,-16.95,69.16,-3.55,8.2
-19.43,-1084.37,728.68,-298.09,81.45,-10.6,43.25,-1.49,4.64
-19.31,-1121.54,753.03,-308.26,78.25,-15.95,22.12,-3.15,0.64
-19.26,-1139.76,804.92,-312.58,78.02,-23.01,14.81,-5.44,-2.19
-19.23,-1159.36,866.92,-317.23,80.8,-27.16,38.76,-6.9,-0.54
-19.26,-1180.09,934.24,-323.51,85.26,-27.23,55.99,-7.26,1.35
-18.8,-1204.12,954.87,-330.61,84.26,-24.87,57.14,-6.85,2.29
-18.43,-1217.7,980.17,-334.32,83.26,-24.43,48.01,-6.99,1.79
-17.91,-1205.7,1005.86,-329.72,84.75,-17.4,36.84,-4.88,1.01
-18.06,-1195.28,1037.11,-324.77,88.83,-7.5,30.36,-1.44,1.2
-17.94,-1164.96,1068.61,-313.22,92.76,5.94,33.32,3.2,2.72
-17.54,-1128.61,1092.17,-299.74,95.69,17.98,33.72,7.4,3.77
-16.94,-1072.24,1097.21,-278.97,97.05,29.72,28.94,11.58,3.65
-15.69,-1010.51,1091.45,-256.87,98.6,42.89,18.98,16.03,2.9
-12.66,-919.51,1123.46,-225.18,104.98,57.93,16.23,21.05,3.27
-5.63,-868.91,1154.32,-208.01,110.65,64.66,20.48,23.02,4.34
8.91,-857.36,1189.29,-204.58,116.63,54.98,30.26,19.18,5.7
14.63,-854.04,1229.17,-203.26,122.46,35.64,39.86,12.29,6.54
17.57,-853.2,1276.08,-203.86,129.54,13.02,43.92,4.3,6.72
20.23,-845.87,1313.62,-202.2,136.94,3.35,46.65,0.81,7.21
21.74,-804.41,1330.28,-189.24,142.27,9.78,42.93,2.76,7.27
22.09,-758.88,1324.87,-175.5,145.16,22.38,30.98,6.63,6.53
22.54,-699.8,1308.38,-158.12,147.45,38.02,14.07,11.49,5.14
22.26,-615.51,1300.16,-132.34,150.18,55.44,1.65,16.84,3.92
22.97,-505.83,1310.3,-99.47,154.87,73.36,0.16,22.14,3.81
24.03,-352.72,1292.74,-54.53,156.32,100.57,0.57,30.12,3.8
24.83,-180.71,1256.76,-6.27,155.61,130.94,-4.09,38.49,3.12
24.77,25.51,1182.51,49.26,150.4,162.66,-21.85,46.32,1.03
24.77,150.83,1107.16,79.77,144.32,172.19,-44.71,47.24,-1.78
25.17,275.03,1037.04,108.65,137.94,162.68,-59.39,42.53,-3.9
25.37,400.79,939.13,136.35,127.3,145.96,-71.69,35.95,-6.03
25.11,538.04,833.1,166.2,115.29,132.82,-80.71,30.69,-7.89
25.23,673.16,709.25,195.58,100.84,136.67,-94.49,30.71,-10.18
24.97,751.66,600.09,209.64,87.97,128.99,-105.44,28.04,-11.92
24.43,804.79,507.55,218.19,76.38,109,-105.23,22.72,-12.27
24.09,791.13,439.65,212.48,67.66,70.87,-94.98,13.57,-11.39
24.06,723.43,396.58,195.14,62.04,21.14,-75.14,2.25,-9.27
23.2,601.03,351.7,164.96,56.14,-31.26,-57.74,-9.23,-7.33
22.29,490.39,260.76,137.65,44.15,-75.17,-55.54,-18.93,-7.18
21.66,405.69,190.13,114.45,34.71,-94,-61.31,-23.51,-8.02
20.03,325.96,96.34,93.17,22.06,-92.97,-74.53,-23.69,-9.85
18.83,192.62,29.46,56.7,12.91,-92.41,-79.69,-24.44,-10.63
17.66,59.17,-28.5,21,4.28,-102.3,-73.15,-27.59,-9.99
16.6,-15.03,-95.78,0.91,-5.24,-106.18,-69.28,-28.59,-9.65
14.63,-33.35,-145.29,-7.47,-12.86,-88.68,-60.76,-24.6,-8.73
12.29,-55.51,-177.17,-14.49,-16.93,-55.62,-53.17,-16.2,-7.66
9.71,-90.65,-200.07,-23.39,-20.69,-31.45,-42.84,-9.76,-6.18
6.97,-126.33,-213.74,-32.88,-22.78,-26.2,-29.62,-7.94,-4.34
7.03,-149.03,-242.73,-38.95,-26.94,-29.41,-23.79,-8.01,-3.47
6.94,-164.3,-256.21,-44.96,-28.86,-28.02,-20.75,-7.87,-3.09
7.6,-191,-264.07,-52.46,-29.98,-25.7,-17.7,-7.61,-2.55
7.94,-238.75,-277.12,-65.96,-32.44,-29.96,-15.44,-8.91,-2.33
8.2,-268.52,-294.79,-74.57,-35.12,-36,-13.11,-10.49,-2.09
7.71,-289.95,-306.17,-80.51,-36.15,-38.86,-13.7,-10.87,-2.08
6.91,-298.81,-329.78,-83.82,-39.98,-33.95,-16.77,-9.53,-2.5
6.34,-349.07,-363.74,-100.77,-44.97,-33.58,-21.69,-9.93,-3.15
5.63,-403.3,-375.67,-117.82,-46.7,-42.36,-22.97,-12.92,-3.38
4.86,-429.58,-384.05,-125.88,-47.89,-48.35,-21.43,-14.83,-3.24
2.8,-413.99,-390.01,-121.53,-48.73,-40.72,-15.59,-12.36,-2.3
0.66,-394.09,-393.26,-115.26,-49.18,-18.45,-9.1,-5.35,-1.33
0.17,-380.21,-396.93,-110.98,-49.69,1.61,-7.17,0.7,-1.05
-0.03,-366.16,-399.54,-106.24,-50.06,11.35,-5.92,3.65,-0.86
-0.03,-351.99,-395.12,-101.36,-50.64,11.89,-3.83,3.92,-0.81
-0.17,-339.98,-388.88,-97.52,-50.04,11.19,-1.09,3.7,-0.6
-0.29,-347.73,-383.23,-99.13,-48.68,7.07,1.73,2.54,-0.11
-0.43,-350.91,-380.27,-99.78,-48.09,1.55,3.07,0.85,0.28
-0.8,-350.67,-367.13,-100,-46.11,-2.74,4.6,-0.62,0.81
-0.57,-341.47,-367.72,-97.32,-46.16,-2.48,4.09,-0.7,0.76
-0.34,-378.78,-372.94,-107.77,-46.89,-7.13,1.64,-2.13,0.28
-0.23,-405.13,-378.27,-114.91,-47.63,-15.55,-1.81,-4.46,-0.25
-0.2,-422.73,-372.02,-119.88,-46.07,-22.84,-3.62,-6.43,-0.4
-0.26,-396.47,-370.57,-111.93,-45.66,-17.7,-1.96,-4.89,-0.07
-0.57,-351.73,-378.79,-98.63,-46.77,3.75,-1.72,1.31,0
-0.69,-314.95,-384.43,-87.34,-46.92,22.52,-3.01,6.81,-0.12
1.34,-275.76,-405.96,-75.26,-50.48,35.04,-9.06,10.59,-1.17
3.66,-265.26,-424.33,-71.48,-53.25,31.61,-14.19,9.72,-2.03
4.94,-272.93,-434.42,-72.93,-54.12,18.82,-15.69,6.11,-2.22
5.11,-300.77,-444,-80.72,-55.95,1.43,-15.19,1,-2.27
5.17,-313.28,-449.4,-84.69,-56.82,-12.66,-10.92,-3.34,-1.62
5.23,-332.2,-439.42,-89.84,-55.35,-19.04,-4.61,-5.37,-0.74
4.69,-334.31,-439.8,-90.76,-55.38,-17.02,-0.56,-5,-0.22
4.51,-367.9,-446.93,-100.73,-56.39,-17.09,0.56,-5.12,0.04
4.17,-397.28,-453.58,-109.46,-57.95,-21.82,-1.31,-6.52,-0.33
3.09,-419.13,-465.73,-116.4,-59.87,-24.99,-6.32,-7.62,-1.15
-1.14,-407.45,-473.29,-112.55,-60.99,-20.88,-8.22,-6.32,-1.46
-5.94,-404.89,-477.71,-111.65,-61.01,-9.35,-7.73,-2.83,-1.21
-8.51,-390.67,-497.17,-106.87,-63.7,2.03,-9.47,0.73,-1.24
-10.23,-360.8,-516.21,-97.78,-66.45,12.91,-11.98,4.11,-1.55
-11.14,-339.65,-532.64,-90.97,-68.85,17.83,-15.17,5.61,-2.07
-12.03,-342.95,-557.5,-91.73,-72.53,17.62,-18.94,5.57,-2.77
-13,-391.89,-582.94,-105.23,-76.93,1.81,-20.72,0.97,-3.2
-13.66,-478.5,-595.18,-130.96,-80.12,-28.53,-20.28,-8.03,-3.5
-14.06,-535.81,-589.63,-147.89,-81.46,-52.69,-14.63,-15.31,-3.24
-15,-594.55,-582.59,-165.87,-82.8,-64.8,-5.13,-19.15,-2.47
-15.69,-677.09,-540.97,-191.76,-79.03,-68.93,10.28,-20.91,-0.65
-16,-750.07,-490.96,-214.67,-73.47,-68.91,26.45,-21.3,1.63
-16.34,-808.43,-437.2,-232.65,-66.64,-70.72,40.53,-22.06,3.96
-16.83,-863.32,-371.9,-249.14,-57.37,-67.73,53.58,-21.03,6.41
-17,-920.13,-300.75,-266.76,-47.74,-60.99,61.24,-18.81,7.99
-16.91,-971.34,-215.75,-282.81,-36.37,-56.74,70.25,-17.47,9.46
-17.09,-1027.24,-134.24,-300.75,-25.67,-56.18,78.09,-17.52,10.49
-17.51,-1066.45,-67.01,-313.19,-17.74,-53.34,79.84,-16.85,10.37
-17.83,-1099.03,-1.69,-322.7,-9.7,-47.83,77.22,-15.02,9.75
-18.03,-1128,46.08,-331.31,-4.02,-41.82,68.44,-12.91,8.38
-17.94,-1161.28,65.4,-341.74,-2.21,-37.26,54.3,-11.28,6.41
-17.74,-1187.77,106.14,-350,2.5,-35.9,44.59,-10.82,5.17
-17.51,-1212.93,154.76,-358.44,8.22,-35.32,40.73,-10.86,4.63
-17.34,-1213.37,230.18,-357.41,15.53,-29.93,49.39,-8.99,5.37
-17.34,-1207.93,318.52,-354.16,23.26,-20.63,66.94,-5.56,6.84
-17.43,-1215.43,414.77,-356.41,32.8,-14.57,82.34,-3.35,8.04
-17.2,-1214.44,513.25,-355.71,42.04,-10.48,94.79,-1.94,9.01
-17.2,-1203.87,603.78,-351.52,50.64,-8.8,99.24,-1.58,9.46
-17.31,-1185.12,666.25,-344.7,55.77,-4.15,93.86,-0.19,8.88
-17.43,-1158.76,716.29,-334.76,60.63,4.69,81.31,2.93,7.57
-17.29,-1119.27,745.51,-320.26,64.56,14.38,63.62,6.36,6.15
-17.29,-1088.13,749.12,-308.52,66.44,21.08,43.02,8.75,4.7
-17.09,-1023.62,749.18,-285.06,67.52,31.23,25.91,12.38,3.6
-16.97,-922.32,761.25,-248.59,71.27,49.14,15.36,18.69,3.08
-16.66,-784.87,827.42,-200.86,83.13,75.94,23.58,27.89,4.86
-16.6,-615.15,892.74,-144.03,93.92,110.86,42.58,39.37,7.73
-16.6,-406.83,943.26,-77.57,102.66,146.16,58.1,50,9.98
-16.51,-195.21,990.39,-12.77,110.9,174.89,63.67,57.54,10.58
-16.17,17.92,1035.27,49.29,118.15,193.85,57.68,61.21,9.42
-16,266.07,1051.84,118.68,122.57,209.79,47.43,63.32,8.01
-15.66,561.93,1064.23,197.2,126.62,230.91,36.79,66.27,6.7
-15.34,893.91,1048.55,279.68,127.44,263.44,20.97,71.57,4.9
-14.94,1243.26,1023.58,360.97,127.17,299.55,3.73,76.9,3.04
-14.23,1503.4,1015.35,418.1,128.19,308.09,-5.05,74.93,1.92
-13.14,1687.29,1026.65,456.84,131.32,279.55,-4.61,64.67,1.75
-11.71,1845.69,1055.61,489.76,135.79,229.36,7.87,50.72,2.81
-10.54,1981.88,1091.82,517.05,140.89,177.56,23.8,37.69,4.23
-9.03,2000.64,1129.35,521.24,145.42,125.48,35.44,26.14,5.13
-5.69,1924.08,1195.62,506.63,153,60.5,47.3,12.79,6.02
4.34,1657.45,1278.78,452.05,162.35,-44.68,61.18,-8.7,7.25
13.71,1116.88,1407.47,332.49,174.58,-207.86,84.34,-43.82,9.16
21.46,544.91,1591.96,191.05,191.37,-372.39,120.23,-83.46,12.1
25.77,433.08,1597.36,160.33,191.12,-410.39,118.5,-95.48,11.3
28.37,492.95,1564.39,174.77,190.02,-302.53,83.21,-72.88,8
28.66,668.06,1508.54,218.05,185.23,-96,24.68,-24.68,2.82
30.69,976.36,1430.05,291.21,179.64,109.56,-34.06,25.83,-2.1
30.69,1438.02,1307.51,394,170.18,250.32,-64.3,58.7,-4.39
30.31,1804.63,1186.98,468.67,159.65,341.84,-88.65,77.05,-6.75
29.89,2144.35,1095.56,532.48,151.3,382.22,-100.16,81.68,-7.96
29.17,2359.67,993.77,569.94,140.74,352.87,-101.89,70.95,-8.85
28.37,2478.65,909.27,588.71,131.81,270.26,-92.55,50.64,-8.75
28.09,2415.06,868.8,575.5,127.9,162.76,-75.95,28.68,-7.49
27.63,2255.15,824.74,545.28,122.87,35.12,-60.44,4.84,-6.16
27.06,2099.36,733.27,514.8,112.01,-67.15,-54.43,-13.68,-5.84
26.14,1965.61,645.38,487.83,100.77,-127.24,-60.35,-24.6,-7.01
24.83,1782.44,554.71,449.77,90.19,-148.89,-74.98,-29.31,-8.98
23.83,1522.68,479.91,394.86,80.43,-171.97,-81.27,-35.06,-9.93
22.77,1301.44,408.66,345.52,71.42,-198.07,-76.12,-41.69,-9.43
22.06,1153.4,323.05,310.82,60.62,-205.17,-73.9,-44.44,-9.2
21.26,1075.16,228.64,290.26,48.61,-173.35,-75.88,-38.98,-9.61
21,1014.38,138.57,273.73,37.01,-119.49,-81.41,-28.47,-10.29
20.26,919.08,64.09,249.53,26.68,-85.75,-82.69,-21.67,-10.66
19.26,813.77,-6.52,222.74,17.23,-79.09,-77.95,-20.49,-10.25
18.57,712.6,-60.96,197.06,9.34,-88.36,-68.34,-22.6,-9.26
17.09,606.75,-108.75,169.95,2.79,-98.19,-58.28,-24.91,-8.06
16.26,509.11,-145.95,144.48,-2.25,-98.9,-49,-25.25,-6.78
15.26,385.62,-180.36,111.87,-7.53,-102.38,-40.54,-26.44,-5.73
14.2,270.26,-219.26,81.17,-12.96,-107.2,-36.67,-28.05,-5.19
13.51,199.13,-273.25,61.96,-20.36,-102.29,-38.73,-27.06,-5.49
12.17,166.61,-328.31,53.59,-27.92,-84.33,-44.98,-22.39,-6.3
10.57,102.83,-376.19,33.45,-35.18,-64.41,-50.04,-17.76,-7.01
9.06,9.29,-414.12,6.67,-40.63,-59.71,-49.99,-17.2,-7.1
8.03,-62.36,-431.68,-14.3,-43.16,-66.44,-41.71,-19.57,-6.01
7.49,-89.97,-451.58,-22.82,-46,-66.88,-32.39,-19.88,-4.69
6.89,-88.2,-477.7,-22.46,-49.74,-47.8,-27.03,-14.14,-3.83
6.17,-90.96,-495.23,-24.63,-52.3,-22.83,-24.61,-7.25,-3.47
5.83,-92.33,-504.35,-25.85,-53.68,-6.77,-23.42,-2.8,-3.3
5.51,-100.92,-511.18,-28.55,-55.38,-3.76,-19.77,-1.94,-2.92
5.29,-103.18,-514,-28.78,-56.07,-5.67,-14.61,-2.25,-2.29
5.11,-111.27,-511.71,-30.94,-55.3,-7.34,-10.53,-2.29,-1.61
5.06,-124.39,-515.26,-34.17,-55.79,-10.12,-8.9,-2.76,-1.24
