Flow,D1,D2,P1,P2,dD1,dD2,dP1,dP2
-16.69,99.49,-145.71,48.04,-15.9,81.17,12.26,36.71,2.21
-16.23,172.78,-118.66,79.84,-11.94,80.09,18.49,35.48,2.91
-15.54,242.66,-81.28,109.77,-7.75,75.74,24.65,33.03,3.26
-15.17,316.42,-55.5,140.84,-5.3,74.07,28.43,31.89,3.37
-14.51,392.4,-31.67,171.92,-1.24,73.96,29.7,31.32,3.68
-13.6,470.28,-19.14,203.05,0.59,75.51,25.58,31.3,3.25
-13.09,534.51,-24.69,228.23,-0.03,74.81,15.73,30.35,2.24
-13.34,613.58,-27.92,258.63,-0.42,74.71,6.98,29.63,1.2
-12.94,686.97,-20.14,286.7,-0.1,74.35,2.13,28.96,0.22
-12.14,760.08,11.86,313.89,2.41,74.36,7.3,28.48,0.44
-11.09,824.32,51.72,337.73,6.31,73.85,19.87,27.91,1.63
-9.37,861.31,118.39,351.17,13.56,64.6,37.09,24.12,3.52
-4.69,854.78,187.2,349.27,21.67,45.05,52.84,16.76,5.55
5.37,792.58,252.67,326.93,30.14,10.86,62.53,4.26,7.18
11.34,700.29,318.52,293.02,38.13,-30.57,67.76,-10.94,8.13
16.23,556.53,409.11,238.2,46.88,-75.66,72.44,-27.93,8.44
19.66,402.9,482.5,177.7,52.97,-113.73,76.08,-43.09,8.09
19.94,272.56,479.55,124.16,50.05,-134.02,63.31,-52.19,5.63
20.6,154.37,462.43,74.27,47.44,-138.34,37.4,-55.46,2.34
20.34,53.44,431.55,30.45,43.05,-126.59,3.92,-52.35,-1.18
19.89,-24.54,382.84,-4.53,37.18,-108.71,-23.59,-46.35,-3.76
18.63,-70.44,321.93,-25.37,30.64,-87.79,-38.7,-38.33,-4.85
17.6,-98,242.4,-38.01,22.02,-64,-54.55,-28.53,-6.31
16.2,-117.01,151.07,-47.09,12.57,-42.36,-70.07,-19.26,-7.63
15.14,-130.2,46.6,-53.6,0.88,-26.51,-84.56,-12.31,-9.12
