Flow,D1,D2,P1,P2,dD1,dD2,dP1,dP2
14.29,-150.93,-30.03,-63.36,-8.31,-19.89,-90.44,-9.42,-9.98
13.89,-179.84,-91.46,-76.92,-15.25,-20.24,-85.54,-9.63,-9.64
13.51,-198.4,-151.31,-85.67,-22.59,-21.67,-75.07,-10.25,-8.75
13.34,-209.43,-177.32,-91.21,-25.83,-20.99,-57.75,-9.94,-6.88
11.94,-219.18,-220.53,-96.23,-32.6,-16.97,-47.53,-8.17,-6.03
11.29,-236.36,-254.44,-104.53,-37.25,-13.68,-40.35,-6.72,-5.51
10.54,-253.87,-275.41,-113.26,-40.67,-14.03,-33.34,-6.97,-4.87
9.77,-264.88,-297.43,-118.67,-43.68,-14.78,-30.29,-7.3,-4.49
8.46,-267.67,-315.14,-120.39,-46.01,-12.77,-23.97,-6.35,-3.44
6.97,-271.72,-327.18,-122.47,-47.57,-8.67,-19.26,-4.4,-2.71
6.14,-275.09,-333.21,-124.15,-47.7,-5.13,-15.26,-2.66,-1.9
4.71,-278.1,-347.04,-125.64,-49.32,-3.57,-12.46,-1.86,-1.41
3.29,-285.23,-356.69,-129.09,-50.52,-4.31,-11.04,-2.13,-1.19
0.14,-298.24,-344.86,-135.37,-49.6,-6.45,-6.62,-3.14,-0.79
-6.89,-300.72,-334.2,-136.58,-47.73,-7.26,-0.68,-3.52,-0.13
-11.86,-285.33,-316.78,-128.85,-44.69,-3.09,7.67,-1.44,1.11
-14.4,-251.37,-317.98,-112.17,-43.36,8.01,10.01,4.01,1.84
-14.91,-219.87,-321.71,-97.05,-42.81,20.63,5.79,10.11,1.72
-15.29,-184.25,-323.02,-80.2,-42.06,29.93,1.33,14.49,1.26
-15.23,-138.67,-303.23,-58.94,-38.6,36.18,1.82,17.24,1.29
-15.06,-72.05,-286.53,-28.05,-36.2,44.16,7.77,20.71,1.8
-14.86,-2.23,-271.41,3.5,-32.9,54.95,13.36,25.41,2.52
-14.83,71.06,-255.97,35.93,-30.55,64.92,16.26,29.57,2.82
-14.89,145.42,-232.93,68.16,-26.85,71.37,16.81,31.92,2.87
-14.69,214.94,-212.83,98.07,-24.71,72.43,18.31,31.8,2.86
-14.74,285.55,-205.22,128.01,-23.84,72.25,17.29,31.25,2.35
-14.49,358.23,-202.24,157.96,-22.84,71.82,13.25,30.55,1.8
-14.14,437,-197.21,189.71,-21.4,73.11,7.91,30.49,1.23
-13.6,515.41,-205.12,220.63,-23.48,75.83,2.01,30.92,0.44
-13.6,593.72,-220.03,250.89,-26.29,78.08,-3.61,31.14,-0.6
-13.71,662.57,-216.22,277.37,-26.03,77.41,-5.45,30.35,-1.18
-13,725.71,-191.13,301.04,-22.88,73.46,-0.28,28.33,-0.61
-12.8,782.8,-162.05,322.07,-19.19,67.78,11.11,25.73,1.14
-12.66,832.3,-122.86,340.03,-14.23,60.91,24.46,22.75,3.04
-12.2,866.26,-83.43,352.22,-8.61,52.61,32.99,19.33,4.29
-10.89,884.53,-30.34,358.73,-1.8,41.31,39.64,15,5.22
-8.46,880.68,38.7,357.76,6.81,25.94,49.06,9.43,6.4
-3.37,844.85,101.21,345.07,13.87,4.99,56.74,1.94,7.12
6.09,784.38,153.44,323.25,19.43,-19.46,60.28,-6.83,7.14
12.71,683.34,196.38,286.4,24.43,-49.15,56.58,-17.65,6.47
16.57,549.06,218.08,235.56,25.7,-81.96,45.12,-30.11,4.79
19.17,396.06,258.71,175.42,28.94,-112.96,37.63,-42.57,3.59
21.03,253.43,293.37,116.84,31.36,-134.73,33.83,-52.31,2.77
21.43,137.47,297.63,67.79,31.44,-138.62,27.33,-55.55,1.9
20.66,59.16,270.98,33.83,26.85,-123.75,14,-51.07,0.41
19.17,1.77,245.05,8.17,24.06,-98.21,-5.45,-41.72,-1.5
17.94,-45.98,211.71,-13.28,19.49,-73.41,-22.06,-31.97,-3.19
17.2,-81.19,182.77,-29.58,16.52,-54.24,-29.34,-24.18,-3.79
16.14,-121.64,161.66,-48.82,14.11,-44.5,-28.51,-20.33,-3.37
15.29,-159.93,140.58,-66.75,11.6,-39.99,-26.29,-18.58,-3.1
14.17,-185.32,95.51,-78.7,5.47,-35.86,-27.83,-16.86,-3.36
13.06,-205.03,51.81,-88,0.61,-31.27,-33.2,-14.74,-4.11
11.37,-226.79,4.78,-98.28,-5.71,-25.68,-40.68,-12.08,-5.13
10.57,-255.5,-29.75,-111.91,-10.77,-23.4,-43.59,-11.06,-5.66
9.54,-281.29,-56.41,-124.55,-14.28,-24.39,-38.98,-11.63,-5.16
8.4,-297.09,-79.61,-132.24,-16.57,-24.02,-32.8,-11.55,-4.36
7.03,-303.49,-103.68,-135.38,-18.79,-19.65,-27.03,-9.53,-3.26
5.66,-308.52,-112.46,-137.84,-19.03,-12.94,-21.61,-6.33,-2.16
4.89,-311.61,-126.06,-139.35,-19.88,-7.28,-17.58,-3.55,-1.42
4.29,-312.78,-141.51,-139.92,-22.25,-3.96,-15.04,-1.94,-1.3
4.03,-316.85,-144.12,-141.9,-22.69,-3.05,-11.48,-1.49,-1.17
3.91,-323.97,-143.82,-145.35,-23.32,-3.52,-8.6,-1.71,-1.21
3.31,-330.23,-148.59,-148.38,-24.73,-4.76,-5.28,-2.31,-1.15
3.2,-337.77,-147.68,-152.05,-24.82,-6.31,-2.21,-3.06,-0.79
-0.46,-339.28,-169.56,-152.78,-26.99,-5.95,-6,-2.89,-1.09
-4.63,-341.59,-185.95,-153.91,-28.27,-4.66,-11.07,-2.26,-1.3
-8.11,-331.87,-202.82,-149.18,-29.55,-1.11,-15.24,-0.54,-1.4
-10.74,-308.49,-215.34,-137.86,-29.63,6.02,-17.43,2.92,-1.31
-12.63,-259.42,-224.01,-114.01,-29.05,18.55,-14.39,9.01,-0.64
-13.66,-196.28,-223.91,-84.07,-27.94,35.48,-10.26,17.09,0.03
-14.23,-143.19,-216.95,-59,-26.11,48.08,-4.23,23.01,0.77
-14.49,-94.7,-203.58,-36.62,-24.14,53.48,2.49,25.34,1.31
-14.4,-45.03,-192.31,-14.04,-21.98,52.11,7.77,24.33,1.71
-14.4,8,-171.26,9.7,-19.1,49.72,12.35,22.83,2.09
-14.69,62.27,-161.68,33.99,-17.82,50.41,13.59,22.81,2.07
-14.6,123.13,-154.52,60.55,-15.6,53.37,12.13,23.84,2.02
-14.34,190.93,-151.02,89.58,-14.82,57.85,9.11,25.44,1.67
-14,247.63,-158.93,113.46,-15.73,60.02,2.62,25.98,0.85
-14.29,313.96,-168.6,141.3,-16.94,62.12,-2.83,26.47,0.03
-14.26,377.7,-167.83,167.38,-16.83,62.65,-5.5,26.3,-0.6
-13.89,446.77,-155.16,195.12,-15.22,63.74,-2.86,26.32,-0.34
-14,522.59,-132.69,225.35,-12.36,68.06,5.39,27.67,0.69
-14.29,594.78,-100.35,253.36,-8.27,70.75,15.89,28.24,2.02
-14.09,661.39,-67.79,279.07,-4.17,72.06,24.13,28.36,3.06
-13.49,709.78,-24.16,297.29,1.3,67.48,31.25,26.2,3.95
-12.83,743.46,28.28,309.77,7.82,57.16,38.32,21.86,4.81
-11.57,761.35,81.1,316.69,14.34,43.43,44.43,16.5,5.55
-8.23,758.09,115.14,315.54,18.52,26.74,45.73,10.13,5.68
-4.23,756.63,133.59,314.96,20.76,13.31,38.98,5.11,4.82
1,740.22,132.77,308.84,20.64,1.52,25.02,0.71,3.08
6.03,703.27,139.6,295.07,21.45,-10.68,12.45,-3.88,1.53
10.31,637.3,156.7,269.91,23.53,-26.76,8.06,-9.98,0.99
13.86,545.93,194.56,234.87,28.12,-49.78,13.95,-18.8,1.7
16.51,442.26,234.59,194.28,31,-72.83,25.51,-27.88,2.71
17.86,333.95,265.69,150.45,34.24,-91.09,32.96,-35.51,3.31
18.06,235.46,278.76,109.8,35.02,-99.54,31.77,-39.58,2.95
18.23,151.64,280.89,74.46,35.07,-97.77,22.18,-39.75,1.86
18.11,72.13,277.46,40.26,34.6,-90.75,10.8,-37.73,0.89
18.11,-8.68,273.75,4.8,32.83,-83.6,2.36,-35.51,-0.22
17.74,-73.62,248.87,-24.25,28.86,-76.82,-5.69,-33.3,-1.33
17.37,-120.59,221.08,-45.89,25.91,-68.2,-13.74,-30.14,-2.28
15.86,-149.4,149.14,-59.2,17.28,-54.84,-29.85,-24.65,-4.03
14.94,-185.87,106.5,-76.12,11.45,-42.47,-42.41,-19.41,-5.32
14.03,-221.36,73.54,-93.02,5.31,-35.6,-45.59,-16.55,-6.05
13.29,-254.81,38.53,-108.89,1.1,-33.64,-43.22,-15.79,-6.07
12.09,-272.06,15.65,-117.45,-1.7,-31.1,-32.69,-14.77,-4.75
10.51,-282.86,-20.15,-122.72,-6.14,-24.18,-30.36,-11.62,-4.14
9.29,-292.83,-39.32,-127.86,-7.87,-16.83,-27.75,-8.22,-3.29
8.11,-297.53,-60.28,-130.24,-10.32,-10.36,-24.65,-5.18,-2.84
7.54,-304.4,-73.99,-133.6,-11.34,-7.7,-21.42,-3.87,-2.29
7.06,-311.75,-84.32,-137.16,-13.09,-6.78,-15.87,-3.39,-1.7
7,-322.01,-86.79,-142.12,-14.14,-7.21,-11.54,-3.52,-1.5
6.46,-329.46,-101.25,-145.72,-16.13,-8.25,-9.17,-4,-1.42
6.91,-333.13,-126.57,-147.2,-18.72,-7.8,-11.95,-3.71,-1.77
6,-336.36,-169.42,-148.68,-23.98,-6.52,-20.82,-3.04,-2.64
5.97,-344.57,-198.35,-152.93,-26.97,-5.89,-29.07,-2.78,-3.37
5.34,-354.02,-210.54,-157.61,-28.97,-6.94,-29.1,-3.36,-3.43
3.74,-361.77,-215.09,-161.45,-29.64,-8.58,-21.98,-4.25,-2.73
1.29,-365.82,-208.54,-163.49,-29.44,-8.9,-9.7,-4.41,-1.41
-2.83,-364.19,-190.74,-162.75,-27.3,-6.57,1.55,-3.23,-0.17
-6.4,-356.38,-162.1,-159.01,-23.66,-2.34,12.01,-1.16,1.25
-10.54,-340.91,-95.21,-151.55,-13.23,3.36,28.61,1.63,3.82
-13.97,-317.5,-41.92,-140.29,-4.08,10.14,42.98,4.92,6.46
-14.91,-276.8,151.17,-120.2,21.72,19.45,80.71,9.52,11.78
-15.66,-226.84,235.73,-96.36,33.14,30.39,104.78,14.8,14.91
-16.34,-169.95,287.33,-69.38,40.29,41.34,105.1,19.98,14.52
-16.46,-118.74,356.05,-45.32,49.38,48.58,94.23,23.26,12.67
-17.03,-55,396.72,-16.2,54.41,53.4,62.23,25.14,8.29
-17.66,3.9,381.34,10.22,52.66,56.01,41.14,25.94,5.45
-18.03,86.03,352.55,46.32,49.27,62,16.55,28.08,2.24
-18.46,208.07,330.17,98.53,45.31,78.27,-8.79,34.52,-1.23
-18.66,361.86,333.54,162.39,44.09,102.98,-17.13,44.21,-2.73
-18.23,500.59,343.83,217.69,45.55,126.63,-8.9,52.98,-1.89
-17.57,595.39,334.17,254.33,45.12,131.43,-1.92,53.64,-0.77
-17.11,671.89,329.11,283.23,44.05,117.06,0.11,46.51,-0.13
-16.97,742.48,321.2,309.74,42.34,94.82,-3.84,36.65,-0.49
-16.94,822.76,326.91,339.39,42.17,81.27,-4.69,30.74,-0.96
-16.8,873.97,358.36,358.18,46.35,73.42,4.6,27.44,0.05
-15.8,902.66,370.53,368.4,47.9,62.31,12.06,23.1,1.17
-13.34,889.89,415.92,363.8,53.28,40.75,23.53,15.04,2.78
-7.57,834.91,441.87,344.07,56.98,7.43,29.19,2.88,3.7
3.86,734.08,488.77,307.35,60.64,-31.36,33.9,-11.21,3.85
13.71,566.1,578.82,244.32,67.29,-79.69,49.93,-29.13,4.73
19.4,405.01,602.94,181.42,66.48,-120.98,52.41,-45.24,3.82
20.66,310.95,556.64,143.5,60.29,-135.21,35.97,-51.63,1.42
20.74,254.72,550.27,120.39,60,-119.23,11.9,-46.52,-0.64
20.74,198.42,558.29,96.57,60.38,-86.62,-7.42,-34.78,-1.83
20.51,140.04,548.76,71.78,58.51,-62.44,-8.61,-25.8,-1.37
20.29,83.51,523.39,47.15,56.07,-55.27,-4.65,-23.36,-0.77
19.83,21.42,502.62,20,54.47,-56.61,-10.82,-24.3,-1.31
19.14,-39.86,477.84,-7.14,52.47,-58.13,-18.5,-25.27,-1.75
18.34,-84.53,424.42,-27.19,47.14,-56.02,-27.26,-24.64,-2.4
17.8,-116.04,386.66,-41.47,42.96,-49.41,-33.08,-21.92,-3.13
16.31,-138,289.44,-51.5,32.2,-38.5,-49.81,-17.25,-5.19
15.2,-174.15,213.14,-68.42,23.27,-31.28,-64.69,-14.24,-7.14
13.83,-209.84,222.57,-85.38,22.5,-30.02,-56.17,-13.92,-6.73
13.11,-255.65,234.26,-106.67,22.79,-34.34,-35.74,-16.05,-4.85
13.14,-289.8,234.28,-122.81,22.52,-37.86,-7.52,-17.76,-1.83
12.03,-306.55,256.64,-130.79,25.14,-33.94,11.32,-15.95,0.53
11.11,-320.6,266.68,-137.82,25.69,-26.81,12.58,-12.68,1.03
10.34,-327.76,259.61,-141.66,24.06,-17.17,9.88,-8.33,0.73
9.86,-332.34,240.18,-144.32,21.57,-10.4,3.06,-5.27,-0.14
9.26,-338.53,213.1,-147.79,17.01,-7.47,-9.83,-3.99,-1.89
8.74,-343.96,236.06,-150.9,19.47,-5.8,-9.31,-3.25,-1.82
7.51,-346.75,226.2,-152.45,18.25,-5.18,-5.69,-2.91,-1.25
6.4,-348.51,219.39,-153.41,18.12,-4.44,-1.5,-2.47,-0.46
3.89,-354.5,200.51,-156.38,16.07,-4.21,-2.9,-2.23,-0.22
1.63,-371.22,181.69,-164.52,13.91,-6.97,-12.26,-3.46,-1.24
-2.14,-383.88,181.13,-170.72,14.56,-10.63,-11.69,-5.2,-1.08
-5.97,-386.74,182.22,-172.16,15.56,-11.71,-8.33,-5.71,-0.59
-9.34,-373.38,183.7,-165.4,16.65,-6.64,-2.26,-3.18,0.36
-11.66,-344.47,174.2,-151.34,16.43,4.93,-0.15,2.49,0.8
-12.91,-308.05,174.87,-133.85,17.43,17.8,-0.94,8.73,0.75
-13.51,-263.86,165.94,-112.56,17.26,29.41,-3.05,14.31,0.51
-14.03,-211.56,174.05,-87.96,19.8,38.64,-1.72,18.57,0.8
-14.14,-151.55,193.37,-59.88,23.19,46.38,4.73,22.07,1.68
-14.31,-94.9,223.46,-33.99,27.08,51.97,13.39,24.42,2.61
-14.31,-44.19,236.23,-10.86,29.35,53.69,19.88,24.93,3.23
-13.91,-2.64,266.75,8.02,33.84,50.62,23.65,23.3,3.51
-14.06,43.47,276,28.42,35.81,46.41,21.57,21.1,3.27
-14.14,77.45,268.65,43.27,35.17,41.59,13.56,18.7,2.32
-14.14,109.73,275.31,57.24,36.02,37.48,8.34,16.6,1.5
-14.17,140.82,296.94,70.91,39.25,34.47,6.07,15.11,1.11
-14.06,175.8,335.68,85.86,43.98,32.51,14.7,14.13,2.04
-13.97,216.08,376.22,102.83,49.43,34.58,27.43,14.88,3.64
-13.94,257.36,431.55,119.98,56.05,37.75,39.14,16.05,5.03
-13.6,302.34,481.95,138.8,62.58,41.51,46.76,17.45,5.91
-13.03,347.58,534.8,157.24,69.48,44.31,50.87,18.45,6.49
-12.6,388.07,584.83,173.86,75.39,44.96,52.86,18.6,6.65
-12.03,418.15,644.31,185.91,82.17,42.46,54.02,17.44,6.66
-10.83,449.82,710.03,198.39,90.21,38.45,58.13,15.61,6.99
-7.63,452.44,795.86,199.37,99.22,29.21,66.69,11.77,7.68
3.46,398.82,874.55,178.12,106.37,7.74,75.48,3.13,8.2
13.8,264.02,956.38,123.57,112.18,-33.81,81.69,-13.57,7.97
19.31,117.31,1049.34,62.07,118.69,-83.45,87.2,-34.01,7.39
21.83,25.09,1099.33,21.53,121.09,-112.05,81.91,-46.46,6.05
21.66,-22.43,1048.02,0.05,116.91,-106.86,53.04,-45.23,3.47
20.97,-40.44,993.74,-8.18,112.71,-73.76,11.55,-32.04,0.42
19.8,-53.54,935.36,-14.15,108.11,-39.69,-29.14,-17.73,-2.45
19.2,-67.43,849.3,-20.11,99.13,-20.59,-57.15,-9.26,-4.77
17.89,-79.91,747.08,-25.98,89.28,-13.18,-70.67,-5.92,-6.4
17.03,-99.2,660.59,-34.76,79.95,-13.39,-81.71,-6.02,-7.97
16.06,-124.1,566.26,-46.41,69.35,-16.31,-89.22,-7.45,-9.23
15.29,-152.29,407.49,-59.72,51.13,-20.44,-103.32,-9.51,-11.18
14.37,-181.12,278.51,-73.45,35.37,-24.63,-116.3,-11.54,-13.3
13.03,-205.36,166.73,-85.17,21.89,-26.06,-125.27,-12.36,-14.69
12.06,-237.34,110.01,-100.26,15.01,-27.16,-113.46,-12.93,-13.53
11,-268.9,74.95,-115.18,10.73,-28.26,-81.77,-13.44,-9.89
10.43,-295.71,26.82,-128.22,4.86,-28.73,-58.09,-13.69,-7.01
9.11,-311.06,-18.77,-135.65,-0.73,-26.6,-44.1,-12.71,-5.35
7.31,-320.73,-55.11,-140.33,-5.21,-20.7,-41.2,-9.96,-5.02
5.66,-331.26,-75.25,-145.41,-7.7,-14.97,-37.17,-7.25,-4.55
3.06,-337.89,-98.05,-148.92,-11.17,-10.64,-29.7,-5.2,-3.78
-2.74,-336.65,-113.82,-148.44,-12.64,-7.21,-22.51,-3.59,-2.88
-7.17,-326.95,-120.34,-143.55,-12.68,-2.33,-16.22,-1.2,-1.9
-9.74,-304.69,-129.46,-132.88,-12.98,5.72,-12.48,2.72,-1.13
-12.2,-266.55,-155.36,-114.8,-15.99,16.64,-12.53,8,-0.93
-13.43,-212.5,-167.74,-89.21,-16.83,29.95,-13.89,14.3,-1.12
-14.17,-151.66,-185.31,-61.1,-18.21,43.29,-16.53,20.41,-1.45
-15.06,-102.14,-206.84,-38.26,-20.7,50.96,-18.28,23.83,-1.74
-15.83,-52.9,-220.48,-16.08,-21.72,52.68,-16.81,24.37,-1.52
-15.97,6.74,-225.42,10.33,-22.17,52.6,-14.99,23.93,-1.41
-15.86,78.62,-219.65,41.91,-21.4,55.81,-8.7,24.98,-0.78
-15.31,151.38,-198.71,73.05,-18.11,62.73,1.71,27.59,0.56
-14.8,224.19,-182.48,103.57,-15.92,68.79,10.24,29.75,1.57
-14.31,297.44,-164.99,133.69,-13.05,71.67,15.73,30.42,2.38
-14.06,371.67,-148.27,164,-10.79,72.3,17.52,30.12,2.63
-14.17,438.47,-139.38,190.6,-9,71.41,15.04,29.25,2.32
-14.11,497.39,-129.81,213.65,-7.65,68.21,12.68,27.5,2.02
-13.77,559.62,-112.25,237.98,-6.08,64.8,11.78,25.74,1.65
-13.37,621.08,-111.78,261.36,-5.55,62.23,9.17,24.3,1.26
-13.17,665.97,-109.99,278.55,-5.24,58.65,6.65,22.67,0.86
-12.37,702.72,-98.96,292.22,-3.87,53.06,5.24,20.31,0.73
-11.37,733.7,-80.36,303.94,-0.94,44.89,6.49,17.04,1.08
-10.11,761.6,-42.33,314.13,4.54,37.24,15.79,14.04,2.35
-8.69,780.28,3.44,320.81,10.35,31.47,27.48,11.75,3.88
-6.23,783.47,65.96,321.83,17.99,23.8,40.75,8.82,5.46
-2.14,771.93,118.58,317.52,23.69,12.99,50.29,4.78,6.26
4.49,730.59,177.99,302.39,30.64,-3.81,55.56,-1.35,6.58
9.43,647.64,241.1,271.37,37.42,-28.62,59.04,-10.51,6.74
14.77,500.98,314.8,215.74,45.25,-65.88,62.64,-24.56,6.92
18.8,335.02,374.83,150.48,49.39,-107.59,65.85,-40.91,6.73
20.03,206.56,349.33,97.76,45.03,-133.7,48.79,-51.99,4.23
19.31,107.19,306.09,55.97,40.93,-135.54,17.71,-54,0.84
18.83,28.71,269.01,22.25,36.79,-115.57,-14.77,-47.4,-2.38
18.29,-37.45,223.63,-7.03,31.47,-90.86,-37.08,-38.41,-4.25
17.97,-88.61,178.83,-29.51,26.8,-72.28,-41.26,-31.19,-4.45
17.69,-114.87,117.45,-41.25,19.6,-55.06,-45.78,-24.12,-5.13
16.17,-129.82,75.27,-48.3,14.54,-38.46,-48.56,-17.07,-5.52
15,-144.36,31.16,-54.98,8.54,-24.58,-48.22,-11.03,-5.72
14.43,-163.09,-6.91,-63.86,2.42,-16.97,-45.33,-7.83,-5.91
13.71,-189.26,-27.82,-75.94,-1.17,-17.39,-36.96,-8.11,-5.32
12.8,-216.11,-53.09,-88.67,-5.83,-21.01,-31.37,-9.82,-5.02
11.91,-237.96,-92.43,-99.22,-12.38,-23.35,-29.23,-11.01,-5
10.91,-250.82,-121.83,-105.37,-17.11,-21.81,-29.45,-10.35,-5.03
9.6,-267.4,-152.92,-113.5,-21.9,-18.55,-32.03,-8.92,-5.3
8.97,-291.05,-177.27,-124.73,-25.17,-17.43,-31.15,-8.41,-4.86
8.2,-317.85,-190.03,-137.44,-27.47,-19.57,-25.43,-9.38,-3.88
7.34,-338.44,-208.77,-147.25,-28.7,-22.23,-21.52,-10.61,-2.94
5.8,-348.02,-220.53,-151.84,-29.25,-20.6,-17.11,-9.79,-1.89
3.66,-356.99,-220.22,-156.13,-28.96,-15.99,-12.05,-7.62,-1
1.09,-366.83,-211.64,-160.85,-27.8,-11.46,-5.82,-5.48,-0.15
-3.66,-368.21,-209.23,-161.21,-26.83,-7.67,0.53,-3.61,0.48
-6.57,-361.22,-196.24,-157.76,-25.02,-3.61,5.79,-1.62,1.03
-7.94,-348.26,-187.61,-151.52,-23.24,2.46,8,1.3,1.41
-8.69,-323.71,-187.18,-139.82,-23.01,10.8,7.07,5.26,1.32
-8.89,-293.37,-183.29,-125.18,-21.82,18.97,6.17,9.12,1.21
-9.74,-254.64,-204.17,-106.97,-23.62,27.15,-1.05,12.96,0.43
-10.29,-226.88,-220.76,-94.06,-24.85,31.64,-8.23,15,-0.37
-10.6,-194.93,-234.29,-79.68,-25.05,32.97,-13.09,15.41,-0.7
-11.14,-153.06,-238.59,-61.07,-24.57,34.68,-14,15.86,-0.68
-11.89,-91.2,-236.63,-33.17,-23.41,40.78,-8.17,18.39,0.09
-12.54,-19.68,-231.68,-1.67,-21.92,52.56,-2.26,23.48,0.78
-13.26,51.19,-222.01,29.3,-20.47,63.33,3.35,28.08,1.22
-13.51,126.11,-215.62,61.16,-18.97,70.82,6.27,31.03,1.45
-13.51,197.97,-205.51,91.45,-16.23,73.14,8.03,31.53,1.77
-13.91,271.68,-193.61,121.66,-13.73,73.65,9.43,31.19,2.1
-14.34,347.07,-183.8,152.28,-12.24,74.43,9.96,30.94,2.2
-14.17,423.28,-173.97,182.37,-10.96,75.05,10.56,30.62,2.03
-13.69,489.43,-164.74,207.97,-10.44,74.16,10.11,29.66,1.45
-12.46,526.26,-154.47,222.41,-8.69,65.83,9.68,25.99,1.2
-10.17,534.27,-121.26,225.58,-4.44,48.32,14.4,18.89,1.8
-5.6,497.83,-61.28,211.79,3.66,19.79,26.89,7.8,3.54
3.09,430.93,-1.04,186.43,10.57,-14.44,42.2,-5.32,5.47
9.4,343.55,53.91,152.24,16.48,-47.18,53.99,-18.06,6.59
12.69,249.15,111.32,114.32,23.2,-73.24,58.46,-28.51,6.88
14.49,159.94,148.74,77.57,26.31,-87.05,53.72,-34.55,5.87
15.69,78.13,167,42.72,27.47,-90.67,43.54,-36.88,4.44
16.29,0.86,168.56,9.3,27.38,-87.72,28.83,-36.56,2.67
16.31,-63.74,156.77,-19.48,24.58,-80.73,11.22,-34.47,0.42
15.86,-110.18,118.73,-40.34,18.34,-70.44,-7.15,-30.7,-1.88
15.09,-144.85,80.52,-56.05,13.29,-57.74,-22.73,-25.56,-3.78
13.91,-176.7,30.77,-70.58,7.11,-45.37,-35.96,-20.37,-5.26
13,-214.33,-1.82,-88.2,2.42,-38.18,-41.56,-17.37,-5.66
12.03,-247.01,-29.91,-103.46,-1.23,-35.42,-39.15,-16.32,-5.12
11.29,-274.18,-43.84,-116.21,-3.03,-33.75,-32.16,-15.7,-4.21
10.2,-278.36,-22.37,-117.89,1.51,-26.97,-15.97,-12.56,-1.77
10.09,-266.86,66.27,-112.1,14.73,-14.13,13.46,-6.45,2.66
10.31,-271.48,120.33,-114.44,22.51,-4.52,40.51,-1.95,6.5
9.49,-270.89,150.1,-114.19,26.38,1.08,52.97,0.63,8.01
8.77,-281.56,161.26,-119.22,27.77,-1.25,45.48,-0.57,6.5
8.94,-300.44,169.88,-128.13,29.43,-7.89,25.55,-3.76,3.6
9.14,-321.4,167.28,-138.07,29.25,-13.08,12.4,-6.18,1.82
10.09,-336.92,123.12,-145.47,24.61,-17.32,-3.59,-8.2,-0.02
10.6,-347.38,17.9,-150.79,11.99,-16.94,-32.09,-8.1,-3.44
10.11,-366.06,-57.69,-159.86,3.36,-15.86,-59.25,-7.67,-6.75
8.46,-385.9,-113.57,-169.18,-3.44,-15.95,-73.19,-7.72,-8.48
6.91,-409.79,-159.01,-180.73,-9.11,-18.58,-68.64,-8.96,-8.12
4.97,-422.96,-201.58,-187.13,-13.85,-19.67,-53.19,-9.43,-6.26
2.11,-424.07,-216.18,-187.67,-16.22,-15.51,-39.73,-7.44,-4.81
-1.54,-412.31,-223.35,-181.93,-17.29,-6.92,-26.94,-3.33,-3.34
-5.37,-394.02,-248.37,-173.04,-20.54,4.04,-19.34,1.98,-2.49
-7.74,-368.76,-277.55,-160.83,-24.3,13.72,-17.73,6.68,-2.38
-9.17,-342.06,-298.75,-148.03,-25.77,20.73,-21.3,10.04,-2.48
-10.51,-313.91,-327.15,-134.63,-28.49,24.95,-25.24,12.01,-2.64
-11.66,-277.48,-355.55,-117.44,-32.57,28.98,-25.95,13.84,-2.71
-12.69,-235.03,-343.14,-97.63,-31.12,33.48,-18.45,15.84,-1.94
-13.43,-181.21,-342.51,-72.84,-30.47,40.39,-10.05,18.91,-1.11
-13.37,-130.55,-334.8,-49.84,-29.37,46.69,0.07,21.61,0.12
